stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
140,2048,BARRINGTON SB & SUNSET FS,100 S BARRINGTON AVE & BARRINGTON CT,34.064791,-118.46965700000001,,,,,,0
228,2084,BUNDY SB & PICO NS,S BUNDY DR & W PICO BLVD,34.029403,-118.450268,,,,,,0
685,2275,BARRINGTON SB & MONTANA NS,700 S BARRINGTON AVE & MONTANA AVE,34.054988,-118.46724499999999,,,,,,0
803,2362,OLYMPIC WB & GRANVILLE NS,11800 W OLYMPIC BLVD & GRANVILLE AVE,34.033234,-118.449773,,,,,,0
1101,2554,BARRINGTON SB & 400 BK (REC CTR) MB,400 S BARRINGTON AVE & BARRINGTON CT,34.061616,-118.46861299999999,,,,,,0
1106,2560,BARRINGTON SB & TERRYHILL NS,600 S BARRINGTON AVE & TERRYHILL PL,34.057751,-118.468179,,,,,,0
1290,2778,BUNDY SB & OLYMPIC FS (Bundy Station),2108 S BUNDY DR & W OLYMPIC BLVD,34.031896,-118.453207,,,,,,0
1350,2845,PICO WB & BUNDY FS,W PICO BLVD & S BARRINGTON AVE,34.029,-118.45104199999999,,,,,,0
1352,2853,BARRINGTON PL NB & CHAYOTE ST NS,S BARRINGTON PL & CHAYOTE ST,34.065865,-118.46896100000001,,,,,,0
1353,2855,BARRINGTON SB & WILSHIRE NS,S BARRINGTON AVE & WILSHIRE BLVD,34.049539,-118.46098,,,,,,0
1388,2854,BARRINGTON SB & KIOWA FS,S BARRINGTON AVE & KIOWA AVE,34.050923,-118.46252199999999,,,,,,0
1389,2856,BARRINGTON SB & TEXAS NS,S BARRINGTON AVE & TEXAS AVE,34.047224,-118.459131,,,,,,0
1391,2858,BARRINGTON SB & NEBRASKA FS,S BARRINGTON AVE & NEBRASKA AVE,34.039878,-118.45278700000001,,,,,,0
1392,2859,BARRINGTON SB & LA GRANGE FS,S BARRINGTON AVE & LA GRANGE AVE,34.036972999999996,-118.45025,,,,,,0
1393,2860,BARRINGTON SB & OLYMPIC NS,S BARRINGTON AVE & W OLYMPIC BLVD,34.034345,-118.447997,,,,,,0
1394,2861,BARRINGTON SB & GORHAM NS,S BARRINGTON AVE & GORHAM AVE,34.05405,-118.466141,,,,,,0
1567,3019,BARRINGTON SB & SANTA MONICA FS,S BARRINGTON AVE & PRIVATE RD,34.043238,-118.45560900000001,,,,,,0
